sold_variants,p_category_ii,zero_winner_probability,assumed_u_azn,assumed_category_ii_pool_20u_azn,expected_unpaid_pool_if_zero_azn,annualized_104_draws_azn
38000,0.000005452835634281,0.812850300156,380,7600,6177.662281,642476.877243
40000,0.000005452835634281,0.804033760478,400,8000,6432.270084,668956.088718
42000,0.000005452835634281,0.795312848952,420,8400,6680.627931,694785.304845
45000,0.000005452835634281,0.782408518596,450,9000,7041.676668,732334.373405
50000,0.000005452835634281,0.761364907870,500,10000,7613.649079,791819.504185
# Assumptions: II=20U; U=0.01*sold_variants; zero-winner II pool is transferred intact; 104 draws/year approximates current Tue/Fri schedule. This is a plausibility screen, NOT an observed transfer rule.
