exchange_commission,bookmaker_odds,lay_odds,token_value,token_floor,three_token_plus_qualifier_floor
0.00,2.00,2.00,10.00,5.000000,15.000000
0.00,2.00,2.05,10.00,4.878049,14.632927
0.00,2.00,2.10,10.00,4.761905,14.283333
0.00,2.00,2.20,10.00,4.545455,13.631818
0.02,2.00,2.00,10.00,4.949495,14.847980
0.02,2.00,2.05,10.00,4.827586,14.481034
0.02,2.00,2.10,10.00,4.711538,14.131731
0.02,2.00,2.20,10.00,4.495413,13.481193
