game,variant,full_space_lines,cost_gbp,optimistic_gross_or_value_gbp,optimistic_return,optimistic_deficit_gbp,status
The Health Lottery Big Win,Wednesday/Saturday full space incl free draw and free-ticket face value,2118760,2118760,603560,0.2848647322,1515200,REJECTED
The Health Lottery All Or Nothing,12-of-24 full space; grants both top-winning own lines full 25000 each,2704156,2704156,1071850,0.3963713632,1632306,REJECTED
