payout_multiple,deterministic_cover_ratio,subsidy_needed_to_exceed_100pct
2.00,0.5000,0.5000
3.00,0.7500,0.2500
3.25,0.8125,0.1875
3.50,0.8750,0.1250
3.75,0.9375,0.0625
4.00,1.0000,0.0000
4.25,1.0625,-0.0625
