other_tickets,expected_conditional_share,required_cash_no_tax,required_cash_24pct_haircut,required_cash_30pct_haircut
0,1.000000000000,490933823.35,645965557.04,701334033.36
10000000,0.983082044473,499382351.77,657082041.80,713403359.67
25000000,0.958415625718,512234786.43,673993140.04,731763980.62
50000000,0.919120780298,534134178.96,702808130.21,763048827.09
100000000,0.846843304134,579722152.80,762792306.31,828174503.99
200000000,0.724129358432,677964258.23,892058234.51,968520368.90
300000000,0.625124974110,785337082.48,1033338266.42,1121910117.83
500000000,0.478825588596,1025287359.42,1349062315.02,1464696227.74
