seller_ask_azn,buyer_rate_azn_per_kg,break_even_mass_g_per_unit
0.20,174,1.149425
0.20,185,1.081081
0.20,187,1.069519
1.00,174,5.747126
1.00,185,5.405405
1.00,187,5.347594
3.00,174,17.241379
3.00,185,16.216216
3.00,187,16.042781
5.00,174,28.735632
5.00,185,27.027027
5.00,187,26.737968
