purchase_timing,remaining_interim_draws,fixed_board_usd,final_sales,ev_per_ticket_usd,ticket_price_usd,gross_return_pct,pretax_roi_pct,break_even_final_sales
before_draw_1,4,12818000,369180,34.7201906929,20,173.6009534644,73.6009534644,640900
before_draw_2,3,12113500,369180,32.8119074706,20,164.0595373531,64.0595373531,605675
before_draw_3,2,11409000,369180,30.9036242483,20,154.5181212417,54.5181212417,570450
before_draw_4,1,10704500,369180,28.9953410261,20,144.9767051303,44.9767051303,535225
