groups_k,partitions_tested,positive_partitions,best_construction,cost,worst_gross,ratio,status
1,1,1,"80",82160,114000,1.3875365141,positive
2,40,15,"40|40",19760,25500,1.2904858300,positive
3,533,57,"26|27|27",8450,10170,1.2035502959,positive
4,3689,66,"20|20|20|20",4560,5000,1.0964912281,positive-cheapest
5,16019,0,"16|16|16|16|16",2800,2800,1.0000000000,break-even-best
6,49342,0,"13|13|13|13|14|14",1872,1770,0.9455128205,negative-best
7,116742,0,"11|11|11|11|12|12|12",1320,1100,0.8333333333,negative-best
8,225132,0,"10|10|10|10|10|10|10|10",960,780,0.8125000000,negative-best
