pick,variants,cost_cad,uncapped_gross_cad,uncapped_return_ratio,uncapped_loss_cad
2,2415,2415.00,1330.00,0.550724637681,1085.00
3,54740,54740.00,28500.00,0.520643039825,26240.00
4,916895,916895.00,484500.00,0.528413831464,432395.00
5,12103014,12103014.00,5087250.00,0.420329184119,7015764.00
6,131115985,131115985.00,58140000.00,0.443424194235,72975985.00
7,1198774720,1198774720.00,579462000.00,0.483378561737,619312720.00
8,9440350920,9440350920.00,4399260000.00,0.466005981905,5041090920.00
9,65033528560,65033528560.00,27991180000.00,0.430411521869,37042348560.00
10,396704524216,396704524216.00,177571006340.00,0.447615279132,219133517876.00
