federal_marginal_rate,nc_rate_2026,combined_simple_rate,retailer_commission,phantom_gambling_taxable,combined_taxable_increment,simple_after_tax_profit
0.10,0.0399,0.1399,3.50,5.00,8.50,2.31085
0.12,0.0399,0.1599,3.50,5.00,8.50,2.14085
0.22,0.0399,0.2599,3.50,5.00,8.50,1.29085
0.24,0.0399,0.2799,3.50,5.00,8.50,1.12085
0.32,0.0399,0.3599,3.50,5.00,8.50,0.44085
0.35,0.0399,0.3899,3.50,5.00,8.50,0.18585
0.37,0.0399,0.4099,3.50,5.00,8.50,0.01585
