metric,value
white_pool,58
white_picks,5
special_pool,5
ticket_price_usd,5
full_space_lines,22910580
full_space_cost_usd,114552900
count_5_plus_special,1
count_5_only,4
count_4_plus_special,265
count_4_only,1060
count_3_plus_special,13780
count_3_only,55120
count_2_plus_special,234260
count_2_only,937040
count_1_plus_special,1464125
optimistic_gross_usd,60584320
optimistic_return_ratio,0.5288763531957724
optimistic_deficit_usd,53968580
