face_spend,guaranteed_prizes,commission,taxable_wagering_income,taxable_increment,simple_combined_tax_rate,income_tax,after_tax_surplus,after_tax_surplus_pct_face,tax_rate_break_even
50,50,3.5,5,8.5,0.23,1.955,1.545,0.0309,0.411764706
100,100,7,10,17,0.23,3.91,3.09,0.0309,0.411764706
