scenario,eligible_plus_lines_proxy,ordinary_raffle_winners_proxy,fixed_plus_ev_eur,million_event_ev_eur,total_incremental_plus_ev_eur,incremental_roi_on_1eur_addon
low_typical,600000,60,0.4116645959,1.6666666667,2.0783312626,2.0783312626
mid_typical,900000,90,0.4116645959,1.1111111111,1.5227757070,1.5227757070
high_typical,1200000,120,0.4116645959,0.8333333333,1.2449979292,1.2449979292
break_even,1699710.7314,169.9711,0.4116645959,0.5883354041,1.0000000000,1.0000000000
