candidate,combination_space,required_price_per_combination,total_spend,player_funded_payout_fraction,optimistic_player_funded_return,takeout_hurdle,guaranteed_external_subsidy_assumed,optimistic_net_upper_bound,necessary_condition_pass,status
UK Lotto full-space Must-Be-Won,45057474,2.00,90114948.00,0.5000000000,45057474.00,45057474.00,0.00,-45057474.00,false,rejected_current_structure
Austria Lotto+LottoPlus full-space fixed-pool promo,8145060,2.30,18733638.00,0.4695652174,8796664.80,9936973.20,1000000.00,-8936973.20,false,rejected_promo_structure
