candidate,assumed_fineness,listed_weight_raw,interpreted_weight_g,ask_azn,reference_buy_azn_per_g,reference_resale_azn,gross_reference_spread_azn,status
A,585,1 g,1.00,128.00,129.50,129.50,1.50,too_thin_without_binding_bid
B,585,423 g,4.23,170.00,129.50,547.785,377.785,metadata_decimal_inference_unverified
