scenario,sold_denominator,board_value,ticket_price,ev_per_ticket,gross_return,roi
nominal_reconstructed_maxwinner,219210,12450000,50,56.7948542493,1.135897085,0.135897085
nominal_95pct_upper_denominator,219245,12450000,50,56.7857875892,1.135715752,0.135715752
cashoption_reconstructed_maxwinner,219210,9936000,50,45.3263993431,0.906527987,-0.093472013
nominal_break_even,249000,12450000,50,50,1,0
cashoption_break_even,198720,9936000,50,50,1,0
sellout_nominal,350000,12450000,50,35.5714285714,0.711428571,-0.288571429
sellout_cashoption,350000,9936000,50,28.3885714286,0.567771429,-0.432228571
