other_lines,expected_jackpot_share,no_tax_cash_break_even_usd
0,1.0000000000,1127475660.00
10000000,0.9829824903,1146994652.65
25000000,0.9581750984,1176690629.84
50000000,0.9186661931,1227296343.82
100000000,0.8460303970,1332665663.12
200000000,0.7228228924,1559822844.38
300000000,0.6235390187,1808187821.81
