external_tickets,remaining_tickets,guaranteed_prize_floor_usd,purchase_cost_usd,strict_gross_return
0,25000,162500,250000,0.6500000000
1,24999,160000,249990,0.6400256010
20,24980,112500,249800,0.4503602882
21,24979,112250,249790,0.4493774771
270,24730,50000,247300,0.2021835827
271,24729,49975,247290,0.2020906628
1000,24000,31750,240000,0.1322916667
2000,23000,6750,230000,0.0293478261
2269,22731,25,227310,0.0001099820
2270,22730,0,227300,0.0000000000
