product,jurisdiction,max_tickets,best_unit_cost_cad,full_supply_cost_cad,advertised_fixed_prize_value_cad,favorable_gross_pct,status
Roughrider Children Main,Saskatchewan,96500,24.75,2388375.00,2039994.37,85.4135,REJECTED
Roughrider Children Cash Calendar,Saskatchewan,264400,2.00,528900.00,105000.00,19.8525,REJECTED
Alberta Cancer Foundation Main,Alberta,352500,19.3055556,6805208.33,4038679.88,59.3469,REJECTED
Alberta Cancer Win Daily Cash,Alberta,976500,1.35,1318275.00,460000.00,34.8941,REJECTED
SickKids 2026 Main,Ontario,145000,45.00,6525000.00,4172666.50,63.9489,REJECTED
SickKids 2026 Cash Calendar,Ontario,1260000,0.75,945100.00,515000.00,54.4916,REJECTED
