game,main_pool,main_picks,bonus_pool,stake,entries,cost,gross,return_ratio,net,status
Set For Life,47,5,10,1.5,15339390,23009085,12949100,0.562781999498819,-10059985,rejected_guaranteed_profit
Thunderball,39,5,14,1,8060598,8060598,4262568,0.5288153558830251,-3798030,rejected_guaranteed_profit
