stake_per_number,full_cover_face,free_play_credit,external_cash,pick1_gross_multiple,deterministic_gross,pretax_profit,external_cash_return
0.25,20.00,5.00,15.00,3.00,15.00,0.00,1.000000
0.25,20.00,5.00,15.00,3.25,16.25,1.25,1.083333
0.25,20.00,5.00,15.00,3.50,17.50,2.50,1.166667
0.25,20.00,5.00,15.00,3.75,18.75,3.75,1.250000
0.25,20.00,5.00,15.00,4.00,20.00,5.00,1.333333
0.25,20.00,0.00,20.00,4.00,20.00,0.00,1.000000
0.25,20.00,0.00,20.00,4.25,21.25,1.25,1.062500
