prize_fund_rate,full_space_variants,price_per_variant_azn,full_space_spend_azn,minimum_external_subsidy_before_costs_azn,ratio_to_1_9m_jackpot_checkpoint
0.80,23474025,2,46948050,9389610,4.9419
0.70,23474025,2,46948050,14084415,7.4129
0.60,23474025,2,46948050,18779220,9.8838
0.50,23474025,2,46948050,23474025,12.3558
