draw,date,cat3_winners,cat3_total,cat4_winners,cat4_total,cat5_winners,cat5_total,cat6_winners,cat6_total,cat7_winners,cat7_total,cat8_winners,cat8_total,cat9_winners,cat9_total,cat10_winners,cat10_prize,cat11_winners,cat11_prize,source,source_confidence
772,2026-05-05,3,4419.60,5,2008.90,7,544.39,5,259.25,175,3617.25,465,5626.50,435,2814.45,843,6,5256,4,https://lucky-numbers.ru/lottery/az/4-4/1777995900000,secondary
774,2026-05-12,1,4621.21,6,2100.60,4,420.12,7,420.14,137,3781.20,466,5885.58,418,2942.72,922,6,5741,4,https://lucky-numbers.ru/lottery/az/4-4/1778600700000,secondary
776,2026-05-19,1,4569.95,5,2077.25,13,635.57,6,195.54,192,3740.16,549,5819.40,452,2910.88,942,6,5817,4,https://lucky-numbers.ru/lottery/az/4-4/1779205500000,secondary
777,2026-05-22,2,4739.46,4,2154.32,7,624.12,4,237.76,136,3878.72,530,6036.70,444,3019.20,983,6,5925,4,https://lucky-numbers.ru/lottery/az/4-4/1779464700000,secondary
790,2026-07-07,5,4593.40,9,2087.91,13,592.41,8,243.04,152,3758.96,558,5847.84,464,2923.20,935,6,6048,4,https://statlotto.com/lottery/az/4-4/1783439100000,secondary_out_of_sample
795,2026-07-24,6,4487.34,7,2039.73,8,408.00,15,408.00,168,3672.48,516,5712.12,416,2857.92,946,6,5616,4,https://lucky-numbers.ru/lottery/az/4-4/latest-result,secondary
796,2026-07-28,3,4476.78,12,2034.96,6,406.98,6,406.98,161,3664.36,482,5702.06,430,2850.90,910,6,5613,4,https://statlotto.com/lottery/az/4-4/latest-result,secondary
